artists.items.0.followers.total,artists.items.0.genres.0,artists.items.0.genres.1,artists.items.0.genres.2,artists.items.0.genres.3,artists.items.0.genres.4,artists.items.0.genres.5,artists.items.0.genres.6,artists.items.0.genres.7,artists.items.0.genres.8,artists.items.0.genres.9,artists.items.0.id,artists.items.0.name,artists.items.0.popularity
604685,chicago rap,melodic rap,rap,southern hip hop,trap,vapor trap,,,,,0HkcYmcjrBR3SCw9Ld5VZk,Calboy,71
20859979,dance pop,edm,electro house,house,pop,pop dance,progressive house,uk dance,,,7CajNmpbOovFoOoasH2HaY,Calvin Harris,88
13254911,pop,pop rap,rap,,,,,,,,4kYSro6naA4h99UJvo89HB,Cardi B,92
,,,,,,,,,,,,,
284274,edm,electro house,electronic trap,pop rap,rap,southern hip hop,trap,underground hip hop,,,7CCjtD0hCK005Bvg2WG1a7,Carnage,67
5059549,chicago rap,conscious hip hop,hip hop,pop rap,rap,,,,,,1anyVhU62p31KFi8MEzkbf,Chance the Rapper,88
2392041,chicago drill,chicago rap,drill,hip hop,pop rap,rap,southern hip hop,trap,underground hip hop,,15iVAtD3s3FsQR4w1v6M0P,Chief Keef,77
7118857,atl hip hop,hip hop,pop rap,rap,,,,,,,73sIBHcqh3Z3NyqHKZ7FOL,Childish Gambino,82
70378,alternative r&b,trap soul,underground hip hop,,,,,,,,4bMNzAopkqYTwkBLwMKsF1,Childish Major,55
729138,alternative r&b,dance pop,pop,pop dance,pop rap,post-teen pop,r&b,,,,0AsThoR4KZSVktALiNcQwW,Chloe x Halle,72
12582697,dance pop,pop,pop rap,r&b,rap,,,,,,7bXgB6jMjp9ATFy66eO08Z,Chris Brown,92
4622304,dance pop,hip pop,pop,pop rap,post-teen pop,r&b,urban contemporary,,,,2NdeV5rLm47xAvogXrYhJX,Ciara,75
1015224,pop,scam rap,trap queen,,,,,,,,37hAfseJWi0G3Scife12Il,City Girls,80
40228,alabama rap,,,,,,,,,,5yy76ufVriyvidNSvXlRU1,Clever,69
240495,alternative hip hop,gangster rap,hardcore hip hop,hip hop,pop rap,rap,southern hip hop,trap,virginia hip hop,,2J257euzcjnDLipsyJH3F2,Clipse,58
1252866,dmv rap,hip hop,rap,trap,underground hip hop,vapor trap,,,,,0huGjMyP507tBCARyzSkrv,Cordae,74
128957,underground hip hop,,,,,,,,,,5oFkj1qSlyBUmV5d6Edgtq,Cozz,59
4914142,north carolina hip hop,rap,,,,,,,,,4r63FhuTkUYltbVAg5TQnk,DaBaby,95
20829178,latin,latin hip hop,reggaeton,trap latino,tropical,,,,,,4VMYDCV2IEDYJArk749S6m,Daddy Yankee,93
2263824,canadian contemporary r&b,pop,,,,,,,,,20wkVLutqVOYrc0kxFs7rA,Daniel Caesar,80
563707,pop,pop r&b,pop rap,r&b,rap,rap latina,,,,,0XIKGBo9PnK1ApI5tZA60d,DaniLeigh,73
281429,trap,vapor trap,viral rap,,,,,,,,0WK3H9OErSn5zKOkOV5egm,DDG,74
1216352,indie pop,indie rock,modern rock,pop rock,washington indie,,,,,,0YrtvWJMgSdVrk3SfNjTbx,Death Cab for Cutie,70
237950,atl trap,trap,,,,,,,,,1C5vXvYnmVVTKw4GVCKGzM,Derez De__hon,56
2313894,bmore,edm,moombahton,ninja,pop,pop dance,tropical house,,,,5fMUXHkw8R8eOP2RNVYEZX,Diplo,88
1842410,house,pop,uk dance,,,,,,,,6nS5roXSAGhTGr34W6n7Et,Disclosure,81
35430,houston rap,,,,,,,,,,28Jt29jw6Smc3ZkzALTouq,DJ Chose,68
5311621,dance pop,hip hop,miami hip hop,pop,pop rap,rap,southern hip hop,trap,,,0QHgL1lAIqAw0HtD7YldmP,DJ Khaled,85
9992,,,,,,,,,,,1qSJaftSab2kTTsj7fLxvM,DJ SpinKing,57
81867,atl hip hop,atl trap,ohio hip hop,rap,southern hip hop,trap,underground hip hop,vapor trap,,,6aLoJJxz7MV2iZ423S8tJC,Doe Boy,67
4232587,la indie,pop,,,,,,,,,5cj0lLjcoR7YOSnhnX0Po5,Doja Cat,89
376531,cali rap,hip hop,rap,southern hip hop,trap,underground hip hop,west coast trap,,,,3s8alQfNnY0roAHaJh7Xxt,Dom Kennedy,68
1040407,rap,trap,,,,,,,,,4Gso3d4CscCijv0lmajZWs,Don Toliver,90
50830850,canadian hip hop,canadian pop,hip hop,pop rap,rap,toronto rap,,,,,3TVXtAsR1Inumwj472S9r4,Drake,99
303819,hip hop,rap,underground hip hop,,,,,,,,1iNqsUDUraNWrj00bqssQG,Dreamville,73
498005,atl hip hop,hip hop,psychedelic hip hop,rap,underground hip hop,,,,,,5MbNzCW3qokGyoo9giHA3V,EARTHGANG,74
72259425,pop,uk pop,,,,,,,,,6eUKZXaKkcviH0Ku9w2n3V,Ed Sheeran,93
