artist,community,num_neighbors,num_similar_neighbor,num_nonsimilar_neighbor,prob_similar,centrality,num,weeks_mean,peak_mean
Megan Thee Stallion,4,23.0,10.0,13.0,0.43478260869565216,0.0782312925170068,8,9.0,21.875
NLE Choppa,4,17.0,11.0,6.0,0.6470588235294118,0.057823129251700675,3,9.666666666666666,30.333333333333332
Jack Harlow,1,4.0,2.0,2.0,0.5,0.013605442176870748,1,40.0,2.0
6LACK,2,20.0,10.0,10.0,0.5,0.06802721088435372,4,5.5,32.75
Ashanti,0,14.0,10.0,4.0,0.7142857142857143,0.047619047619047616,2,1.5,31.0
Tank,0,7.0,6.0,1.0,0.8571428571428571,0.023809523809523808,0,,
Lil Duval,4,4.0,2.0,2.0,0.5,0.013605442176870748,0,,
YNW Melly,4,7.0,5.0,2.0,0.7142857142857143,0.023809523809523808,4,16.5,18.75
Saweetie,4,2.0,2.0,0.0,1.0,0.006802721088435374,1,3.0,29.0
Rod Wave,4,8.0,7.0,1.0,0.875,0.027210884353741496,2,12.0,23.0
XXXTENTACION,5,13.0,2.0,11.0,0.15384615384615385,0.04421768707482993,8,9.0,26.375
Matt Ox,5,2.0,1.0,1.0,0.5,0.006802721088435374,1,1.0,45.0
Pop Smoke,4,22.0,11.0,11.0,0.5,0.07482993197278913,15,5.0,28.466666666666665
Famous Dex,4,14.0,7.0,7.0,0.5,0.047619047619047616,1,20.0,26.0
King Von,4,10.0,8.0,2.0,0.8,0.03401360544217687,3,1.0,28.333333333333332
Doe Boy,1,16.0,10.0,6.0,0.625,0.054421768707482984,1,2.0,39.0
The Kid LAROI,4,7.0,5.0,2.0,0.7142857142857143,0.023809523809523808,3,3.6666666666666665,26.333333333333332
Chris Brown,0,68.0,34.0,34.0,0.5,0.2312925170068027,13,11.615384615384615,24.384615384615383
DJ Khaled,0,59.0,37.0,22.0,0.6271186440677966,0.20068027210884354,12,9.083333333333334,18.583333333333332
Busta Rhymes,0,37.0,30.0,7.0,0.8108108108108109,0.12585034013605442,1,1.0,48.0
Tay-K,1,2.0,2.0,0.0,1.0,0.006802721088435374,0,,
G Herbo,1,25.0,10.0,15.0,0.4,0.08503401360544217,1,6.0,19.0
Nipsey Hussle,0,24.0,15.0,9.0,0.625,0.08163265306122447,7,4.428571428571429,25.142857142857142
Young Scooter,1,29.0,13.0,16.0,0.4482758620689655,0.09863945578231292,1,1.0,33.0
Clever,3,6.0,5.0,1.0,0.8333333333333334,0.020408163265306117,2,1.5,31.5
JAY-Z,0,34.0,33.0,1.0,0.9705882352941176,0.11564625850340135,3,2.3333333333333335,20.0
Trevor Daniel,5,1.0,1.0,0.0,1.0,0.003401360544217687,0,,
Ariana Grande,5,17.0,3.0,14.0,0.17647058823529413,0.057823129251700675,2,7.5,28.0
Sada Baby,1,4.0,3.0,1.0,0.75,0.013605442176870748,1,4.0,12.0
Rvssian,3,7.0,4.0,3.0,0.5714285714285714,0.023809523809523808,1,3.0,33.0
Zacari,1,2.0,1.0,1.0,0.5,0.006802721088435374,1,35.0,6.0
Kanye West,0,51.0,34.0,17.0,0.6666666666666666,0.17346938775510204,13,4.153846153846154,21.0
Headie One,1,5.0,4.0,1.0,0.8,0.01700680272108843,1,15.0,24.0
Diplo,3,19.0,7.0,12.0,0.3684210526315789,0.06462585034013606,1,4.0,37.0
YK Osiris,4,8.0,5.0,3.0,0.625,0.027210884353741496,1,1.0,32.0
Juicy J,1,52.0,19.0,33.0,0.36538461538461536,0.17687074829931973,1,17.0,17.0
Cardi B,3,26.0,6.0,20.0,0.2307692307692308,0.08843537414965986,19,15.68421052631579,12.31578947368421
Cordae,0,8.0,4.0,4.0,0.5,0.027210884353741496,1,1.0,37.0
Aretha Franklin,0,2.0,2.0,0.0,1.0,0.006802721088435374,0,,
Pusha T,0,36.0,25.0,11.0,0.6944444444444444,0.12244897959183673,1,1.0,37.0
Calboy,4,14.0,10.0,4.0,0.7142857142857143,0.047619047619047616,0,,
Mac Miller,0,24.0,13.0,11.0,0.5416666666666666,0.08163265306122447,0,,
A Boogie Wit da Hoodie,4,49.0,26.0,23.0,0.5306122448979592,0.16666666666666666,18,6.277777777777778,29.555555555555557
DJ Chose,4,1.0,1.0,0.0,1.0,0.003401360544217687,1,2.0,33.0
Lil Tjay,4,17.0,15.0,2.0,0.8823529411764706,0.057823129251700675,4,11.75,19.0
Giveon,0,1.0,1.0,0.0,1.0,0.003401360544217687,1,16.0,11.0
YFN Lucci,4,22.0,10.0,12.0,0.4545454545454545,0.07482993197278913,0,,
Empress Of,2,1.0,1.0,0.0,1.0,0.003401360544217687,1,1.0,43.0
Ne-Yo,0,21.0,14.0,7.0,0.6666666666666666,0.07142857142857142,1,8.0,20.0
MadeinTYO,5,14.0,2.0,12.0,0.14285714285714285,0.047619047619047616,2,8.0,16.0
Murda Beatz,1,7.0,3.0,4.0,0.42857142857142855,0.023809523809523808,1,22.0,3.0
SAINt JHN,2,12.0,4.0,8.0,0.3333333333333333,0.040816326530612235,2,4.0,31.5
Daddy Yankee,3,6.0,4.0,2.0,0.6666666666666666,0.020408163265306117,1,1.0,36.0
Stacy Barthe,0,2.0,2.0,0.0,1.0,0.006802721088435374,1,3.0,37.0
Tierra Whack,0,5.0,4.0,1.0,0.8,0.01700680272108843,1,1.0,34.0
Blueface,4,19.0,12.0,7.0,0.631578947368421,0.06462585034013606,3,5.333333333333333,33.333333333333336
Michael Jackson,0,6.0,6.0,0.0,1.0,0.020408163265306117,1,6.0,8.0
Sleepy Hallow,4,2.0,2.0,0.0,1.0,0.006802721088435374,0,,
JID,2,18.0,12.0,6.0,0.6666666666666666,0.061224489795918366,2,3.0,28.0
REASON,2,6.0,4.0,2.0,0.6666666666666666,0.020408163265306117,0,,
Lil Uzi Vert,1,36.0,16.0,20.0,0.4444444444444444,0.12244897959183673,25,3.48,29.88
H.E.R.,2,9.0,5.0,4.0,0.5555555555555556,0.030612244897959183,4,16.0,25.5
NAV,1,27.0,14.0,13.0,0.5185185185185185,0.09183673469387754,11,6.2727272727272725,27.90909090909091
Mary J. Blige,0,24.0,22.0,2.0,0.9166666666666666,0.08163265306122447,1,1.0,44.0
Bebe Rexha,4,4.0,3.0,1.0,0.75,0.013605442176870748,1,7.0,35.0
Vince Staples,0,10.0,7.0,3.0,0.7,0.03401360544217687,1,1.0,49.0
Kevin Gates,4,21.0,13.0,8.0,0.6190476190476191,0.07142857142857142,4,2.75,33.25
French Montana,0,75.0,30.0,45.0,0.4,0.2551020408163265,4,6.75,31.25
Joyner Lucas,0,9.0,7.0,2.0,0.7777777777777778,0.030612244897959183,3,6.666666666666667,25.0
Yella Beezy,4,14.0,10.0,4.0,0.7142857142857143,0.047619047619047616,1,10.0,30.0
42 Dugg,4,8.0,6.0,2.0,0.75,0.027210884353741496,2,17.5,15.5
Jermaine Dupri,0,10.0,7.0,3.0,0.7,0.03401360544217687,1,1.0,48.0
Jessie Reyez,2,7.0,3.0,4.0,0.42857142857142855,0.023809523809523808,2,1.0,31.5
Calvin Harris,0,21.0,10.0,11.0,0.4761904761904762,0.07142857142857142,1,8.0,38.0
G-Eazy,4,26.0,9.0,17.0,0.3461538461538461,0.08843537414965986,7,9.571428571428571,23.142857142857142
Chloe x Halle,1,3.0,2.0,1.0,0.6666666666666666,0.010204081632653059,0,,
Russ,4,10.0,7.0,3.0,0.7,0.03401360544217687,1,22.0,20.0
Stevie Wonder,0,4.0,4.0,0.0,1.0,0.013605442176870748,1,2.0,49.0
Ball Greezy,0,4.0,3.0,1.0,0.75,0.013605442176870748,1,20.0,25.0
Drake,0,60.0,31.0,29.0,0.5166666666666667,0.20408163265306126,32,10.625,14.4375
Lizzo,5,4.0,2.0,2.0,0.5,0.013605442176870748,1,1.0,48.0
Beyoncé,0,24.0,17.0,7.0,0.7083333333333334,0.08163265306122447,0,,
iann dior,4,8.0,8.0,0.0,1.0,0.027210884353741496,1,1.0,50.0
Quavo,4,68.0,27.0,41.0,0.3970588235294117,0.2312925170068027,15,4.933333333333334,26.933333333333334
Ella Mai,2,12.0,5.0,7.0,0.4166666666666667,0.040816326530612235,1,20.0,25.0
Bad Bunny,3,9.0,7.0,2.0,0.7777777777777778,0.030612244897959183,1,30.0,1.0
Sosa Geek,4,2.0,1.0,1.0,0.5,0.006802721088435374,1,2.0,20.0
Cozz,2,9.0,7.0,2.0,0.7777777777777778,0.030612244897959183,1,1.0,44.0
Quando Rondo,4,13.0,12.0,1.0,0.9230769230769232,0.04421768707482993,2,2.5,36.0
Aminé,2,9.0,2.0,7.0,0.2222222222222222,0.030612244897959183,0,,
Labrinth,0,5.0,3.0,2.0,0.6,0.01700680272108843,1,1.0,25.0
M.I.A.,0,8.0,5.0,3.0,0.625,0.027210884353741496,1,7.0,1.0
Jon Z,4,2.0,1.0,1.0,0.5,0.006802721088435374,1,20.0,16.0
Mulatto,4,10.0,6.0,4.0,0.6,0.03401360544217687,1,6.0,40.0
Lil Yachty,1,53.0,20.0,33.0,0.37735849056603776,0.18027210884353745,10,3.3,37.8
Moneybagg Yo,4,34.0,22.0,12.0,0.6470588235294118,0.11564625850340135,7,4.285714285714286,36.857142857142854
Plies,0,23.0,11.0,12.0,0.4782608695652174,0.0782312925170068,0,,
Juice WRLD,3,24.0,4.0,20.0,0.16666666666666666,0.08163265306122447,23,7.434782608695652,23.217391304347824
blackbear,5,9.0,2.0,7.0,0.2222222222222222,0.030612244897959183,1,1.0,28.0
Swizz Beatz,0,20.0,18.0,2.0,0.9,0.06802721088435372,1,1.0,40.0
Hit-Boy,5,9.0,1.0,8.0,0.1111111111111111,0.030612244897959183,2,7.5,25.0
T-Pain,0,35.0,19.0,16.0,0.5428571428571428,0.11904761904761905,1,14.0,20.0
Guapdad 4000,2,11.0,7.0,4.0,0.6363636363636364,0.037414965986394565,1,2.0,30.0
DaniLeigh,4,12.0,9.0,3.0,0.75,0.040816326530612235,1,19.0,34.0
Young Nudy,1,22.0,13.0,9.0,0.5909090909090909,0.07482993197278913,4,1.75,38.5
Mustard,4,34.0,12.0,22.0,0.35294117647058826,0.11564625850340135,4,23.75,14.75
YBN Nahmir,4,11.0,6.0,5.0,0.5454545454545454,0.037414965986394565,1,8.0,29.0
Childish Gambino,0,9.0,6.0,3.0,0.6666666666666666,0.030612244897959183,1,1.0,33.0
Jay Rock,0,14.0,10.0,4.0,0.7142857142857143,0.047619047619047616,1,20.0,13.0
Yugen Blakrok,0,1.0,1.0,0.0,1.0,0.003401360544217687,1,1.0,49.0
Jacquees,4,20.0,9.0,11.0,0.45,0.06802721088435372,1,14.0,40.0
JACKBOYS,1,5.0,4.0,1.0,0.8,0.01700680272108843,4,6.75,24.0
Ski Mask The Slump God,4,7.0,3.0,4.0,0.42857142857142855,0.023809523809523808,2,4.5,31.0
X Ambassadors,5,2.0,1.0,1.0,0.5,0.006802721088435374,1,7.0,35.0
Jeremih,0,37.0,18.0,19.0,0.4864864864864865,0.12585034013605442,4,15.75,16.0
SZA,0,12.0,6.0,6.0,0.5,0.040816326530612235,6,10.0,19.666666666666668
Joji,3,3.0,1.0,2.0,0.3333333333333333,0.010204081632653059,0,,
Billy Ray Cyrus,3,3.0,3.0,0.0,1.0,0.010204081632653059,1,37.0,1.0
Snoop Dogg,0,51.0,28.0,23.0,0.5490196078431373,0.17346938775510204,4,6.0,33.5
Future,1,90.0,26.0,64.0,0.2888888888888889,0.30612244897959184,30,3.933333333333333,28.233333333333334
Doja Cat,5,5.0,1.0,4.0,0.2,0.01700680272108843,3,14.0,26.666666666666668
Gunna,4,54.0,26.0,28.0,0.4814814814814815,0.18367346938775508,28,6.75,25.142857142857142
Childish Major,2,6.0,5.0,1.0,0.8333333333333334,0.020408163265306117,1,1.0,44.0
J. Cole,0,33.0,19.0,14.0,0.5757575757575758,0.11224489795918367,9,3.888888888888889,28.88888888888889
Sosamann,1,8.0,4.0,4.0,0.5,0.027210884353741496,1,2.0,17.0
YG,4,61.0,24.0,37.0,0.3934426229508197,0.2074829931972789,8,10.125,25.375
Buddy,2,14.0,8.0,6.0,0.5714285714285714,0.047619047619047616,1,2.0,30.0
24kGoldn,4,4.0,4.0,0.0,1.0,0.013605442176870748,0,,
Lil Durk,4,56.0,30.0,26.0,0.5357142857142857,0.19047619047619047,8,5.0,26.125
Stunna 4 Vegas,4,12.0,9.0,3.0,0.75,0.040816326530612235,2,4.5,29.5
Young T & Bugsey,1,1.0,1.0,0.0,1.0,0.003401360544217687,1,15.0,24.0
Travis Scott,1,60.0,23.0,37.0,0.38333333333333336,0.20408163265306126,31,5.387096774193548,23.870967741935484
Machine Gun Kelly,4,14.0,7.0,7.0,0.5,0.047619047619047616,4,2.5,41.25
EARTHGANG,2,13.0,8.0,5.0,0.6153846153846154,0.04421768707482993,1,4.0,26.0
Alicia Keys,0,13.0,12.0,1.0,0.9230769230769232,0.04421768707482993,1,2.0,41.0
Jhené Aiko,0,23.0,14.0,9.0,0.6086956521739131,0.0782312925170068,0,,
KAROL G,3,7.0,5.0,2.0,0.7142857142857143,0.023809523809523808,0,,
Gucci Mane,1,81.0,25.0,56.0,0.308641975308642,0.2755102040816326,10,9.3,31.7
Gesaffelstein,1,1.0,1.0,0.0,1.0,0.003401360544217687,3,3.0,18.666666666666668
Ed Sheeran,2,16.0,5.0,11.0,0.3125,0.054421768707482984,3,6.333333333333333,14.666666666666666
Dreamville,2,14.0,9.0,5.0,0.6428571428571429,0.047619047619047616,5,2.6,33.6
Don Toliver,1,13.0,5.0,8.0,0.38461538461538464,0.04421768707482993,4,4.5,23.75
King Combs,4,1.0,1.0,0.0,1.0,0.003401360544217687,1,1.0,42.0
Roddy Ricch,4,17.0,11.0,6.0,0.6470588235294118,0.057823129251700675,16,11.3125,23.5625
Justin Timberlake,0,11.0,10.0,1.0,0.9090909090909092,0.037414965986394565,2,4.0,36.5
Flipp Dinero,4,4.0,2.0,2.0,0.5,0.013605442176870748,0,,
Kodie Shane,4,2.0,2.0,0.0,1.0,0.006802721088435374,1,1.0,45.0
Tyga,0,50.0,23.0,27.0,0.46,0.17006802721088435,8,11.0,25.875
N.E.R.D,0,10.0,7.0,3.0,0.7,0.03401360544217687,0,,
Ty Dolla $ign,4,85.0,28.0,57.0,0.32941176470588235,0.2891156462585034,12,8.083333333333334,24.0
PARTYNEXTDOOR,3,27.0,3.0,24.0,0.1111111111111111,0.09183673469387754,6,4.333333333333333,24.333333333333332
London On Da Track,4,13.0,7.0,6.0,0.5384615384615384,0.04421768707482993,3,1.6666666666666667,31.0
SAFE,2,3.0,1.0,2.0,0.3333333333333333,0.010204081632653059,0,,
Clipse,0,8.0,7.0,1.0,0.875,0.027210884353741496,1,1.0,20.0
Syd,2,8.0,5.0,3.0,0.625,0.027210884353741496,1,1.0,47.0
Usher,0,22.0,16.0,6.0,0.7272727272727273,0.07482993197278913,1,20.0,23.0
Death Cab for Cutie,2,1.0,1.0,0.0,1.0,0.003401360544217687,0,,
TK Kravitz,4,14.0,13.0,1.0,0.9285714285714286,0.047619047619047616,1,4.0,28.0
Ant Clemons,4,8.0,4.0,4.0,0.5,0.027210884353741496,2,1.0,21.0
Saudi,4,2.0,1.0,1.0,0.5,0.006802721088435374,1,5.0,25.0
Metro Boomin,1,22.0,15.0,7.0,0.6818181818181818,0.07482993197278913,21,4.333333333333333,22.19047619047619
John Legend,0,25.0,19.0,6.0,0.76,0.08503401360544217,3,1.6666666666666667,33.0
Tee Grizzley,4,19.0,11.0,8.0,0.5789473684210527,0.06462585034013606,0,,
Anderson .Paak,0,17.0,14.0,3.0,0.8235294117647058,0.057823129251700675,1,1.0,45.0
Young M.A,0,1.0,1.0,0.0,1.0,0.003401360544217687,1,2.0,20.0
Rich The Kid,4,54.0,26.0,28.0,0.4814814814814815,0.18367346938775508,4,12.25,28.0
Missy Elliott,0,19.0,14.0,5.0,0.7368421052631579,0.06462585034013606,1,1.0,48.0
Reese LAFLARE,1,8.0,3.0,5.0,0.375,0.027210884353741496,1,2.0,30.0
Moby,0,3.0,3.0,0.0,1.0,0.010204081632653059,1,2.0,31.0
Bobby Shmurda,4,4.0,3.0,1.0,0.75,0.013605442176870748,1,8.0,15.0
Belly,1,19.0,7.0,12.0,0.3684210526315789,0.06462585034013606,1,4.0,26.0
"Royce Da 5'9""",0,14.0,13.0,1.0,0.9285714285714286,0.047619047619047616,0,,
Landon Cube,4,1.0,1.0,0.0,1.0,0.003401360544217687,2,17.0,25.0
Migos,1,39.0,12.0,27.0,0.3076923076923077,0.1326530612244898,13,10.846153846153847,21.0
Dom Kennedy,0,13.0,6.0,7.0,0.4615384615384616,0.04421768707482993,0,,
A$AP Ferg,5,41.0,5.0,36.0,0.12195121951219512,0.13945578231292516,4,7.5,24.0
Khalid,2,17.0,8.0,9.0,0.4705882352941176,0.057823129251700675,5,10.8,31.2
Yung Pinch,5,7.0,3.0,4.0,0.42857142857142855,0.023809523809523808,1,4.0,40.0
StaySolidRocky,4,3.0,2.0,1.0,0.6666666666666666,0.010204081632653059,0,,
Lute,2,5.0,3.0,2.0,0.6,0.01700680272108843,1,5.0,18.0
Logic,0,18.0,10.0,8.0,0.5555555555555556,0.061224489795918366,8,4.125,28.875
Lil Tecca,4,8.0,5.0,3.0,0.625,0.027210884353741496,3,2.0,34.0
Rowdy Rebel,4,7.0,5.0,2.0,0.7142857142857143,0.023809523809523808,1,3.0,21.0
Joey Bada$$,0,8.0,5.0,3.0,0.625,0.027210884353741496,1,1.0,36.0
DaBaby,4,38.0,20.0,18.0,0.5263157894736842,0.1292517006802721,26,9.653846153846153,22.5
Fred Hammond,0,1.0,1.0,0.0,1.0,0.003401360544217687,1,1.0,29.0
Pardison Fontaine,3,4.0,1.0,3.0,0.25,0.013605442176870748,1,20.0,18.0
Justin Bieber,3,25.0,7.0,18.0,0.28,0.08503401360544217,4,11.5,16.25
Luh Kel,4,5.0,5.0,0.0,1.0,0.01700680272108843,0,,
WizKid,2,14.0,3.0,11.0,0.21428571428571427,0.047619047619047616,0,,
Lil Wayne,0,79.0,38.0,41.0,0.4810126582278481,0.26870748299319724,18,5.166666666666667,21.666666666666668
DDG,1,4.0,2.0,2.0,0.5,0.013605442176870748,0,,
"Tyler, The Creator",0,12.0,9.0,3.0,0.75,0.040816326530612235,10,2.7,32.2
The Weeknd,1,30.0,13.0,17.0,0.43333333333333335,0.1020408163265306,8,6.125,22.375
Queen Naija,4,10.0,9.0,1.0,0.9,0.03401360544217687,1,1.0,48.0
2 Chainz,4,69.0,21.0,48.0,0.3043478260869565,0.2346938775510204,8,5.375,32.625
Disclosure,2,6.0,3.0,3.0,0.5,0.020408163265306117,0,,
City Girls,4,15.0,11.0,4.0,0.7333333333333333,0.051020408163265314,3,11.666666666666666,28.333333333333332
Maluma,3,2.0,1.0,1.0,0.5,0.006802721088435374,1,17.0,16.0
50 Cent,0,24.0,15.0,9.0,0.625,0.08163265306122447,2,10.5,15.5
Bruno Mars,2,6.0,1.0,5.0,0.16666666666666666,0.020408163265306117,3,22.666666666666668,2.3333333333333335
